Successfully parsed - /home/cs144/ebay-data/items-0.xml
1044363196, ANRI Ferrandiz Ornament SET of FOUR MINT!, $19.99, Dec-05-01 17:13:54, Dec-15-01 17:13:54, 6, $39.00, USA, null
1044367519, CGC 9.2 NM- MIGHTY HEROES #4, W/ MIGHTY MOUSE, $115.00, Dec-05-01 17:19:55, Dec-15-01 17:19:55, 0, $115.00, USA, null
1044387921, ANTIQUE CLOCK CLOCKS*GILDED BRONZE CARTIER, $795.00, Dec-05-01 17:51:26, Dec-15-01 17:51:26, 1, $795.00, USA, null
1044389855, CHRISTOPHER RADKO Trim A Tree O PIN 2 for1!!!, $4.99, Dec-05-01 17:54:27, Dec-15-01 17:54:27, 1, $4.99, USA, null
1044392363, DISNEY PINOCCHIO COOKIE JAR - NEW- MIB, $33.90, Dec-05-01 17:58:13, Dec-15-01 17:58:13, 0, $33.90, USA, $126.32
1044407002, LLADRO #7644: INNOCENCE in BLOOM (mint in box, $199.99, Dec-05-01 18:14:38, Dec-15-01 18:14:38, 0, $199.99, USA, null
1044412792, 18 Old pt fruit jars, glass lids&wire closure, $1.00, Dec-05-01 18:21:35, Dec-15-01 18:21:35, 7, $15.50, USA, $34.29
1044417566, unread Wolverine miniseries #1-3, $13.00, Dec-05-01 18:31:00, Dec-15-01 18:31:00, 1, $13.00, USA, null
1044429906, 1967 March Boris Karloff #17 March Gold Key, $3.05, Dec-05-01 18:43:41, Dec-15-01 18:43:41, 0, $3.05, USA, null
1044448350, FREARM #1 MALIBU COMICS COMIC BOOK NR, $1.50, Dec-05-01 19:02:12, Dec-15-01 19:02:12, 0, $1.50, USA, null
1044458000, department 56 ceramic santa claus, $24.00, Dec-05-01 19:10:12, Dec-15-01 19:10:12, 0, $24.00, USA, null
1044517180, Buick street sign,Great gift idea!, $9.95, Dec-05-01 20:19:42, Dec-10-01 20:19:42, 0, $9.95, USA, $20.97
1044520426, CIRCUS COPPER COOKIE CUTTER MINT SET, $9.99, Dec-05-01 20:25:46, Dec-15-01 20:25:46, 7, $36.00, USA, $97.01
1044521948, 1981 Hallmark Family Tree Ornament - MINT, $6.99, Dec-05-01 20:31:00, Dec-15-01 20:31:00, 0, $6.99, USA, null
1044527090, 1993 Hallmark Cool Santa (Coca Cola) - Club, $6.99, Dec-05-01 20:36:49, Dec-15-01 20:36:49, 0, $6.99, USA, null
1044553439, William R. Hearst; Letter & Photo From Lady!, $15.00, Dec-05-01 21:32:20, Dec-15-01 21:32:20, 0, $15.00, USA, null
1044575304, Kim Anderson's pretty as a picture MUSICAL, $34.50, Dec-05-01 23:11:28, Dec-15-01 23:11:28, 1, $34.50, USA, null
1044583004, Old Wooden Corkscrew #35, $4.00, Dec-06-01 19:19:32, Dec-16-01 19:19:32, 0, $4.00, USA, null
1044589232, 1950s CHEESE/FOOD GRINDER [GLASS BODY] nr, $0.99, Dec-06-01 01:38:26, Dec-16-01 01:38:26, 0, $0.99, USA, $1.21
1044589406, 1950's-60's FLOUR SIFTER by WILLOW, $4.99, Dec-06-01 01:41:38, Dec-16-01 01:41:38, 1, $4.99, Australia, null
1044638123, X-MEN #164.1983.FIRST APP.BINARY! NEAR MINT +, $8.50, Dec-06-01 07:52:10, Dec-16-01 07:52:10, 0, $8.50, USA, null
1044638749, Original Star Wars Painted artwork, 1ofa kind, $150.00, Dec-06-01 07:54:39, Dec-16-01 07:54:39, 8, $308.03, USA, null
1044650862, LOEWS TOM&JERRY lot of *6* old cookie cutters, $9.00, Dec-06-01 08:35:59, Dec-16-01 08:35:59, 0, $9.00, USA, null
1044652547, DESTROYER DUCK #1, $7.00, Dec-06-01 08:41:18, Dec-16-01 08:41:18, 0, $7.00, Canada, null
1044670345, Harmony Garden Sunflower II, $5.00, Dec-06-01 09:41:46, Dec-16-01 09:41:46, 2, $10.50, USA, null
1044677094, Avon-Sunny Time Convertible Fanny Pack, $2.75, Dec-06-01 09:59:27, Dec-13-01 09:59:27, 0, $2.75, USA, null
1044682407, Dan Dare Deluxe Edition Vol 10 New HB 1st Ed, $9.00, Dec-06-01 10:14:25, Dec-16-01 10:14:25, 4, $26.00, United Kingdom, null
1044688877, BROWN & BIGELOW SALEMAN SAMPLE 1922 CALENDER, $5.00, Dec-06-01 10:30:44, Dec-13-01 10:30:44, 0, $5.00, USA, null
1044689408, PRECIOUS MOMENTS~HAPPY BIRTHDAY CUPCAKE BOX, $11.60, Dec-06-01 10:31:45, Dec-16-01 10:31:45, 0, $11.60, USA, null
1044698086, AVENGERS' QUASAR SERIES--ISSUES 1-60, $24.99, Dec-06-01 10:53:09, Dec-16-01 10:53:09, 0, $24.99, USA, null
1044704534, 10 Issues 2000AD #'s 591-600 Judge Dredd NM, $6.00, Dec-06-01 11:08:18, Dec-16-01 11:08:18, 0, $6.00, United Kingdom, null
1044707198, Dept. 56 Green Grocer Dickens Village, $3.00, Dec-06-01 11:16:43, Dec-13-01 11:16:43, 22, $61.10, USA, null
1044709075, Alpine Village Polka Fest, $15.00, Dec-06-01 11:19:45, Dec-16-01 11:19:45, 0, $15.00, USA, null
1044725095, David Winter Christmas in Scotlan & Hogmay 88, $99.99, Dec-06-01 12:01:05, Dec-13-01 12:01:05, 0, $99.99, USA, null
1044730246, Dept 56 Snow Village Jacks Corner Barber Shop, $45.00, Dec-06-01 12:14:05, Dec-13-01 12:14:05, 1, $45.00, USA, null
1044731826, NORTH POLE SANTA S BELL REPAIR, $15.00, Dec-06-01 12:17:44, Dec-13-01 12:17:44, 3, $16.75, USA, null
1044753275, Avon 1987 Christmas Bell NIB and MORE, $7.00, Dec-06-01 13:09:07, Dec-13-01 13:09:07, 0, $7.00, USA, null
1044760560, NORMAN ROCKWELL PLATE~MIB~FAMILY'S MEASURE, $15.00, Dec-06-01 13:26:10, Dec-16-01 13:26:10, 0, $15.00, USA, null
1044766839, Duncan Royale Figure of Fran Holda !!!!!!!!!!, $185.00, Dec-06-01 13:42:47, Dec-16-01 13:42:47, 0, $185.00, USA, null
1044769132, BRAND NEW 2001 GREEN MARGUERITE, $19.00, Dec-06-01 13:49:00, Dec-16-01 13:49:00, 0, $19.00, USA, null
1044771169, BRADFORD EXCHANGE MIRACLE OF LIFE PLATE 1995, $12.95, Dec-06-01 13:53:56, Dec-13-01 13:53:56, 1, $12.95, USA, null
1044772419, 1876 Series Cape Cod Sugar Bowl, $9.95, Dec-06-01 13:57:38, Dec-13-01 13:57:38, 0, $9.95, USA, null
1044774869, DBL QUEEN PINK DAMASK BEDSPREAD WITH FRINGE, $7.50, Dec-06-01 14:03:03, Dec-16-01 14:03:03, 1, $7.50, Canada, null
1044780959, GREEN MOUNTAIN: MISTER MIRACLE #7 VGF KIRBY, $1.00, Dec-06-01 14:17:33, Dec-16-01 14:17:33, 0, $1.00, USA, null
1044789966, Gallon milk bottle with plastic handle, $7.95, Dec-06-01 14:39:39, Dec-16-01 14:39:39, 0, $7.95, USA, null
1044790001, Cherished Teddies Jerry Ready To Splash NEW, $9.50, Dec-06-01 14:39:49, Dec-13-01 14:39:49, 0, $9.50, USA, null
1044790439, 15' PIZZA BAKING STONE +++++, $8.95, Dec-06-01 14:40:52, Dec-16-01 14:40:52, 2, $9.60, USA, null
1044797607, MIB Fabulous SAKURA BARN Cookie Jar Oneida NR, $24.99, Dec-06-01 14:58:28, Dec-16-01 14:58:28, 0, $24.99, USA, $96.56
1044804097, "Christmas Cook-Out" 2nd In A Nutshell series, $4.50, Dec-06-01 15:13:39, Dec-16-01 15:13:39, 0, $4.50, USA, null
1044808556, 417785 Christmas Girl - Limited Edition! NR!, $9.99, Dec-06-01 15:24:56, Dec-16-01 15:24:56, 1, $9.99, USA, null
1044809898, PRECIOUS MOMENTS MUSICAL CHRISTMAS HOUSE N/R!, $8.99, Dec-06-01 15:26:31, Dec-13-01 15:26:31, 1, $8.99, USA, null
1044813117, Beautiful Vintage Wallpaper, LEAF/ STRIPE, $9.99, Dec-06-01 15:33:24, Dec-13-01 15:33:24, 0, $9.99, USA, null
1044819242, 1965 Jerry Lewis #90 October DC Comic, $3.05, Dec-06-01 15:46:35, Dec-16-01 15:46:35, 0, $3.05, USA, null
1044820175, Philadelphia 76ers JERRY STACKHOUSE Jersey Bo, $1.00, Dec-06-01 15:48:31, Dec-13-01 15:48:31, 1, $1.00, USA, null
1044831955, Pair Vintage Drapes, Floral Faille Roses!!!, $22.00, Dec-06-01 16:13:07, Dec-16-01 16:13:07, 2, $46.00, USA, null
1044843918, EMMETT KELLY JR CLEANING UP DEAF FIGURINE, $14.97, Dec-06-01 16:34:57, Dec-13-01 16:34:57, 0, $14.97, USA, null
1044846301, BRADFORD EXCHANGE AN ANGEL'S AFFECTION PLATE, $14.99, Dec-06-01 16:39:21, Dec-16-01 16:39:21, 0, $14.99, USA, $70.69
1044846316, Dickens Village "Cottage of Bob Cratchit, $9.99, Dec-06-01 16:39:05, Dec-13-01 16:39:05, 10, $41.00, USA, $144.44
1044847509, Swarovski 1997 Christmas Ornament, $10.00, Dec-06-01 16:41:14, Dec-16-01 16:41:14, 7, $59.00, USA, null
1044848909, Wooden Architecture in the Berkshires 1922, $4.00, Dec-06-01 16:43:35, Dec-13-01 16:43:35, 0, $4.00, USA, $23.65
1044849628, Awesome Radko Batgirl Ornament- NR!!!, $7.50, Dec-06-01 16:44:57, Dec-13-01 16:44:57, 1, $7.50, USA, null
1044850586, CREEPY #2 DAVIS FRAZETTA WILLIAMSON more! FN, $14.95, Dec-06-01 16:46:53, Dec-16-01 16:46:53, 0, $14.95, Canada, null
1044853098, DUNCAN ROYALE-18"-ST. NICHOLAS SANTA-RARE-MIB, $150.00, Dec-06-01 16:51:04, Dec-13-01 16:51:04, 2, $154.01, USA, null
1044855059, thor 128 - 140 jack kirby art all VGFN BV$135, $39.99, Dec-06-01 16:54:48, Dec-16-01 16:54:48, 0, $39.99, USA, null
1044855531, THE RINGMASTER - CIRCUS SERIES NR CC 50%OFF, $8.95, Dec-06-01 16:55:13, Dec-13-01 16:55:13, 0, $8.95, USA, null
1044861783, Ace Willie Beginner Magic Book Grab #8, $0.25, Dec-06-01 17:03:30, Dec-16-01 17:03:30, 4, $3.25, USA, null
1044863124, Our Friendship Blessed Bag Precious Moment, $2.50, Dec-06-01 17:05:23, Dec-13-01 17:05:23, 2, $2.75, USA, null
1044863839, Radko ~~CHILLIN DELIVERIES ~~REDUCED, $34.00, Dec-06-01 17:06:03, Dec-13-01 17:06:03, 0, $34.00, USA, null
1044864736, Wolverine Mini Statue by Bowen Designs, $1.00, Dec-06-01 17:07:38, Dec-16-01 17:07:38, 5, $15.50, USA, $42.88
1044864943, Radko Heritage Santa, $20.00, Dec-06-01 17:08:53, Dec-13-01 17:08:53, 0, $20.00, USA, null
1044880223, Dept. 56 Farmer's Market N Eng Village NIB, $19.99, Dec-06-01 17:30:37, Dec-13-01 17:30:37, 3, $26.00, USA, null
1044880929, MARVEL COLLECTORS ITEM CLASSICS 15 NM 9.4 CGC, $9.99, Dec-06-01 17:31:10, Dec-16-01 17:31:10, 6, $22.26, USA, null
1044884674, Star Wars: Dark Lords of the Sith (Full Run!), $5.99, Dec-06-01 17:36:18, Dec-16-01 17:36:18, 1, $5.99, USA, null
1044884849, PM**Catelog pc**My Love Will Keep You Warm, $18.99, Dec-06-01 17:35:51, Dec-13-01 17:35:51, 0, $18.99, USA, null
1044896146, Snowbabies Make A Wish, MIB, NR, $22.50, Dec-06-01 17:50:53, Dec-13-01 17:50:53, 0, $22.50, USA, null
1044896485, ROYAL DOULTON IMPERIAL PALACE CHEN CHI, $14.99, Dec-06-01 17:50:54, Dec-16-01 17:50:54, 0, $14.99, USA, null
1044897718, "The Lovers" Collector Plate by Lee Bogle, $20.00, Dec-06-01 17:52:58, Dec-13-01 17:52:58, 3, $21.50, USA, null
1044908245, character shaving mug BLACK MAN German porcel, $24.99, Dec-06-01 18:06:06, Dec-16-01 18:06:06, 1, $24.99, USA, null
1044910123, WEIRD WESTERN TALES #14 CGC VF 8.0 Toth art, $30.00, Dec-06-01 18:07:13, Dec-16-01 18:07:13, 0, $30.00, USA, null
1044913099, NEW Dragon Magazine #287 TSR AD&D D&D RPG 3E, $4.95, Dec-06-01 18:10:42, Dec-16-01 18:10:42, 4, $7.00, USA, null
1044914830, X-MEN GRAPHIC NOVEL.GOD LOVES-MAN KILLS NM, $8.50, Dec-06-01 18:12:58, Dec-16-01 18:12:58, 0, $8.50, USA, null
1044917206, New Michigan State xxl, $2.99, Dec-06-01 18:15:11, Dec-16-01 18:15:11, 1, $2.99, USA, null
1044923263, Oliver Twist retired 1993, $14.00, Dec-06-01 18:21:40, Dec-13-01 18:21:40, 0, $14.00, USA, null
1044938750, Fabulous Art Deco Chrome w/bakelite CoffeePot, $4.99, Dec-06-01 18:36:50, Dec-16-01 18:36:50, 3, $15.83, USA, null
1044942087, MUSICAL 3-D CHRISTMAS ANGEL PLATE #4, $15.99, Dec-06-01 18:40:35, Dec-16-01 18:40:35, 0, $15.99, USA, $53.60
1044942715, Seattle Skyline Limoge Style Trinket Box, $8.99, Dec-06-01 18:40:57, Dec-16-01 18:40:57, 0, $8.99, USA, null
1044943868, DEPT 56 ALPINE VILLAGE GRISTMILL, $23.00, Dec-06-01 18:42:19, Dec-13-01 18:42:19, 0, $23.00, USA, null
1044944674, Retired 98 Juvenile Diabetes Charity Orn, $9.99, Dec-06-01 18:44:22, Dec-13-01 18:44:22, 0, $9.99, USA, null
1044948773, PRECIOUS MOMENTS MOUSEPAD, $5.00, Dec-06-01 18:47:14, Dec-13-01 18:47:14, 0, $5.00, USA, null
1044953624, LOIS LANE #134 VF/NM SUPER LOIS, KANDOR, $6.50, Dec-06-01 18:52:57, Dec-16-01 18:52:57, 0, $6.50, USA, null
1044954717, Nice old Quilt Hand Stitched Hand Quilted, $9.99, Dec-06-01 19:01:12, Dec-16-01 19:01:12, 8, $71.00, USA, null
